LECROYWR610Zi,62129,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Nov-2021 10:54:01,0                 
Time,Ampl
-0.3434323,4.99256
-0.3424323,4.99256
-0.3414323,4.99256
-0.3404323,4.99256
-0.3394323,5.05898
-0.3384323,4.99256
-0.3374323,4.99256
-0.3364323,4.95935
-0.3354323,4.99256
-0.3344323,4.99256
-0.3334323,4.99256
-0.3324323,4.99256
-0.3314323,4.99256
-0.3304323,5.02577
-0.3294323,4.99256
-0.3284323,4.99256
-0.3274323,4.99256
-0.3264323,5.02577
-0.3254323,4.99256
-0.3244323,4.99256
-0.3234323,4.99256
-0.3224323,4.99256
-0.3214323,4.95935
-0.3204323,4.99256
-0.3194323,4.99256
-0.3184323,4.95935
-0.3174323,4.99256
-0.3164323,5.02577
-0.3154323,4.99256
-0.3144323,4.99256
-0.3134323,4.99256
-0.3124323,4.99256
-0.3114323,5.02577
-0.3104323,4.99256
-0.3094323,5.02577
-0.3084323,4.99256
-0.3074323,4.99256
-0.3064323,4.99256
-0.3054323,4.99256
-0.3044323,4.99256
-0.3034323,4.99256
-0.3024323,4.99256
-0.3014323,4.99256
-0.3004323,4.99256
-0.2994323,4.95935
-0.2984323,4.95935
-0.2974323,4.99256
-0.2964323,4.99256
-0.2954323,4.95935
-0.2944323,4.99256
-0.2934323,4.99256
-0.2924323,5.02577
-0.2914323,4.95935
-0.2904323,4.99256
-0.2894323,5.02577
-0.2884323,5.02577
-0.2874323,4.99256
-0.2864323,5.02577
-0.2854323,4.99256
-0.2844323,4.99256
-0.2834323,4.99256
-0.2824323,4.99256
-0.2814323,4.99256
-0.2804323,0.110786
-0.2794323,0.077577
-0.2784323,0.0443677
-0.2774323,0.077577
-0.2764323,0.0443677
-0.2754323,0.077577
-0.2744323,0.0443677
-0.2734323,0.0443677
-0.2724323,0.077577
-0.2714323,0.0443677
-0.2704323,0.0443677
-0.2694323,0.0443677
-0.2684323,0.077577
-0.2674323,0.0443677
-0.2664323,0.0111583
-0.2654323,0.0443677
-0.2644323,0.0111583
-0.2634323,0.0111583
-0.2624323,0.0443677
-0.2614323,0.0111583
-0.2604323,0.0111583
-0.2594323,0.0443677
-0.2584323,0.0443677
-0.2574323,-0.022051
-0.2564323,0.0111583
-0.2554323,0.0111583
-0.2544323,0.0443677
-0.2534323,0.0111583
-0.2524323,0.0111583
-0.2514323,0.0111583
-0.2504323,4.82651
-0.2494323,4.95935
-0.2484323,4.92614
-0.2474323,4.95935
-0.2464323,4.95935
-0.2454323,4.92614
-0.2444323,4.95935
-0.2434323,4.99256
-0.2424323,4.99256
-0.2414323,4.95935
-0.2404323,4.95935
-0.2394323,4.99256
-0.2384323,4.99256
-0.2374323,4.99256
-0.2364323,4.99256
-0.2354323,4.99256
-0.2344323,4.99256
-0.2334323,4.99256
-0.2324323,5.05898
-0.2314323,5.02577
-0.2304323,4.99256
-0.2294323,4.99256
-0.2284323,5.02577
-0.2274323,4.95935
-0.2264323,4.99256
-0.2254323,5.05898
-0.2244323,5.02577
-0.2234323,4.99256
-0.2224323,4.95935
-0.2214323,4.99256
-0.2204323,4.99256
-0.2194323,4.99256
-0.2184323,4.99256
-0.2174323,4.99256
-0.2164323,4.99256
-0.2154323,5.02577
-0.2144323,4.99256
-0.2134323,4.99256
-0.2124323,4.99256
-0.2114323,4.99256
-0.2104323,5.02577
-0.2094323,4.99256
-0.2084323,4.99256
-0.2074323,5.02577
-0.2064323,4.99256
-0.2054323,4.95935
-0.2044323,5.02577
-0.2034323,4.95935
-0.2024323,4.99256
-0.2014323,4.99256
-0.2004323,4.99256
-0.1994323,4.99256
-0.1984323,4.99256
-0.1974323,4.99256
-0.1964323,4.99256
-0.1954323,4.99256
-0.1944323,4.99256
-0.1934323,4.99256
-0.1924323,4.99256
-0.1914323,4.99256
-0.1904323,4.99256
-0.1894323,4.99256
-0.1884323,5.02577
-0.1874323,4.99256
-0.1864323,4.92614
-0.1854323,4.99256
-0.1844323,4.99256
-0.1834323,4.99256
-0.1824323,4.95935
-0.1814323,4.92614
-0.1804323,4.99256
-0.1794323,4.99256
-0.1784323,5.02577
-0.1774323,5.02577
-0.1764323,4.99256
-0.1754323,4.99256
-0.1744323,4.95935
-0.1734323,4.99256
-0.1724323,4.99256
-0.1714323,4.99256
-0.1704323,4.99256
-0.1694323,4.99256
-0.1684323,5.02577
-0.1674323,4.95935
-0.1664323,4.99256
-0.1654323,5.02577
-0.1644323,4.99256
-0.1634323,5.02577
-0.1624323,5.02577
-0.1614323,5.02577
-0.1604323,4.99256
-0.1594323,4.99256
-0.1584323,4.99256
-0.1574323,4.99256
-0.1564323,4.99256
-0.1554323,5.02577
-0.1544323,4.99256
-0.1534323,4.99256
-0.1524323,5.02577
-0.1514323,5.02577
-0.1504323,4.99256
-0.1494323,4.99256
-0.1484323,4.99256
-0.1474323,4.99256
-0.1464323,4.99256
-0.1454323,4.95935
-0.1444323,4.99256
-0.1434323,4.99256
-0.1424323,5.02577
-0.1414323,4.99256
-0.1404323,4.99256
-0.1394323,4.99256
-0.1384323,4.99256
-0.1374323,4.99256
-0.1364323,4.99256
-0.1354323,4.99256
-0.1344323,4.95935
-0.1334323,4.95935
-0.1324323,5.02577
-0.1314323,4.99256
-0.1304323,4.99256
-0.1294323,4.95935
-0.1284323,4.99256
-0.1274323,4.99256
-0.1264323,4.99256
-0.1254323,5.02577
-0.1244323,5.02577
-0.1234323,4.99256
-0.1224323,4.99256
-0.1214323,4.99256
-0.1204323,5.02577
-0.1194323,4.99256
-0.1184323,4.99256
-0.1174323,4.99256
-0.1164323,4.95935
-0.1154323,4.99256
-0.1144323,4.99256
-0.1134323,4.99256
-0.1124323,4.99256
-0.1114323,4.95935
-0.1104323,5.02577
-0.1094323,5.02577
-0.1084323,5.02577
-0.1074323,4.99256
-0.1064323,4.99256
-0.1054323,4.99256
-0.1044323,4.99256
-0.1034323,4.99256
-0.1024323,5.02577
-0.1014323,4.99256
-0.1004323,5.02577
-0.09943229,4.99256
-0.09843229,4.99256
-0.09743229,4.99256
-0.09643229,4.99256
-0.09543229,4.99256
-0.09443229,4.99256
-0.09343229,5.02577
-0.09243229,4.99256
-0.09143229,5.02577
-0.09043229,4.99256
-0.08943229,4.92614
-0.08843229,4.99256
-0.08743229,5.02577
-0.08643229,4.99256
-0.08543229,4.99256
-0.08443229,4.92614
-0.08343229,4.99256
-0.08243229,5.05898
-0.08143229,4.99256
-0.08043229,4.99256
-0.07943229,4.99256
-0.07843229,4.99256
-0.07743229,4.99256
-0.07643229,4.95935
-0.07543229,4.99256
-0.07443229,4.99256
-0.07343229,5.02577
-0.07243229,5.02577
-0.07143229,4.99256
-0.07043229,4.99256
-0.06943229,4.99256
-0.06843229,4.99256
-0.06743229,4.99256
-0.06643229,4.99256
-0.06543229,4.99256
-0.06443229,4.99256
-0.06343229,4.99256
-0.06243229,5.02577
-0.06143229,4.99256
-0.06043229,5.02577
-0.05943229,4.99256
-0.05843229,4.99256
-0.05743229,4.99256
-0.05643229,4.99256
-0.05543229,4.95935
-0.05443229,4.99256
-0.05343229,4.99256
-0.05243229,4.99256
-0.05143229,4.99256
-0.05043229,4.99256
-0.04943229,4.99256
-0.04843229,4.99256
-0.04743229,4.99256
-0.04643229,4.99256
-0.04543229,4.99256
-0.04443229,5.05898
-0.04343229,5.02577
-0.04243229,5.02577
-0.04143229,4.99256
-0.04043229,4.99256
-0.03943229,4.99256
-0.03843229,4.99256
-0.03743229,4.99256
-0.03643229,4.99256
-0.03543229,4.99256
-0.03443229,4.95935
-0.03343229,5.02577
-0.03243229,4.99256
-0.03143229,4.99256
-0.03043229,4.99256
-0.02943229,4.95935
-0.02843229,4.99256
-0.02743229,4.99256
-0.02643229,4.95935
-0.02543229,4.99256
-0.02443229,4.99256
-0.02343229,4.99256
-0.02243229,4.99256
-0.02143229,4.99256
-0.02043229,5.02577
-0.01943229,4.95935
-0.01843229,4.99256
-0.01743229,4.99256
-0.01643229,4.99256
-0.01543229,4.99256
-0.01443229,4.99256
-0.01343229,5.02577
-0.01243229,4.99256
-0.01143229,4.95935
-0.01043229,4.99256
-0.009432287,4.99256
-0.008432287,4.95935
-0.007432287,4.99256
-0.006432287,4.99256
-0.005432287,4.99256
-0.004432287,4.95935
-0.003432287,4.99256
-0.002432287,4.99256
-0.001432287,5.02577
-0.0004322866,0.110786
0.0005677134,0.110786
0.001567713,0.077577
0.002567713,0.077577
0.003567713,0.110786
0.004567713,0.0443677
0.005567713,0.0443677
0.006567713,0.0111583
0.007567713,0.0443677
0.008567713,0.0443677
0.009567713,0.0443677
0.01056771,0.0443677
0.01156771,0.0111583
0.01256771,0.0111583
0.01356771,-0.022051
0.01456771,0.0111583
0.01556771,0.0111583
0.01656771,0.0111583
